date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
25/06/1977,Argentina,France,3,26,1977 France tour of Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
02/07/1977,Argentina,France,18,18,1977 France tour of Argentina,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
11/11/1977,France,New Zealand,18,13,1977 New Zealand tour,Stadium Municipal,Toulouse,France,FALSE,FALSE
19/11/1977,France,New Zealand,3,15,1977 New Zealand tour,Parc des Princes,Paris,France,FALSE,FALSE
21/01/1978,France,England,15,6,1978 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
21/01/1978,Ireland,Scotland,12,9,1978 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/02/1978,England,Wales,6,9,1978 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
04/02/1978,Scotland,France,16,19,1978 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
18/02/1978,Wales,Scotland,22,14,1978 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
18/02/1978,France,Ireland,10,9,1978 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
04/03/1978,Ireland,Wales,16,20,1978 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
04/03/1978,Scotland,England,0,15,1978 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
18/03/1978,England,Ireland,15,9,1978 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
18/03/1978,Wales,France,16,7,1978 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
11/06/1978,Australia,Wales,18,8,1978 Wales tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
17/06/1978,Australia,Wales,19,17,1978 Wales tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
19/08/1978,New Zealand,Australia,13,12,1978 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
26/08/1978,New Zealand,Australia,22,6,1978 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
09/09/1978,New Zealand,Australia,16,30,1978 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
24/10/1978,Italy,Argentina,19,6,"1978 Argentina rugby union tour of Britain, Ireland and Italy",Stadio Comunale Mario Battaglini,Rovigo,Italy,FALSE,FALSE
04/11/1978,Ireland,New Zealand,6,10,1978 New Zealand rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
11/11/1978,Wales,New Zealand,12,13,1978 New Zealand tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,FALSE,FALSE
25/11/1978,England,New Zealand,6,16,1978 New Zealand rugby union tour of Britain and Ireland,Twickenham,London,England,FALSE,FALSE
09/12/1978,Scotland,New Zealand,9,18,1978 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
20/01/1979,Scotland,Wales,13,19,1979 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
20/01/1979,Ireland,France,9,9,1979 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
01/02/1979,England,France,7,6,1979 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
03/02/1979,Wales,Ireland,24,21,1979 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
03/02/1979,England,Scotland,7,7,1979 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
17/02/1979,Ireland,England,12,7,1979 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
17/02/1979,France,Wales,14,13,1979 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
03/03/1979,Scotland,Ireland,11,11,1979 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
17/03/1979,Wales,England,27,3,1979 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
17/03/1979,France,Scotland,21,17,1979 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
03/06/1979,Australia,Ireland,12,27,1979 Ireland tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
16/06/1979,Australia,Ireland,3,9,1979 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
07/07/1979,New Zealand,France,23,9,1979 French tour of Fiji & New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
14/07/1979,New Zealand,France,19,24,1979 French tour of Fiji & New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
28/07/1979,Australia,New Zealand,12,6,1979 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
27/10/1979,Argentina,Australia,24,13,1979 Australia tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,FALSE,FALSE
03/11/1979,Argentina,Australia,12,17,1979 Australia tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,FALSE,FALSE
10/11/1979,Scotland,New Zealand,6,20,1979 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
24/11/1979,England,New Zealand,9,10,"1979 New Zealand rugby union tour of England, Scotland and Italy",Twickenham,London,England,FALSE,FALSE
19/01/1980,Wales,France,18,9,1980 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
19/01/1980,England,Ireland,24,9,1980 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
02/02/1980,Ireland,Scotland,22,15,1980 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
02/02/1980,France,England,13,17,1980 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
16/02/1980,Scotland,France,22,14,1980 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
16/02/1980,England,Wales,9,8,1980 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
01/03/1980,Wales,Scotland,17,6,1980 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
01/03/1980,France,Ireland,19,18,1980 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
15/03/1980,Ireland,Wales,21,7,1980 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
15/03/1980,Scotland,England,18,30,1980 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
21/06/1980,Australia,New Zealand,13,9,1980 New Zealand tour of Australia and Fiji,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
28/06/1980,Australia,New Zealand,9,12,1980 New Zealand tour of Australia and Fiji,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
12/07/1980,Australia,New Zealand,26,10,1980 New Zealand tour of Australia and Fiji,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
01/11/1980,Wales,New Zealand,3,23,1980 New Zealand tour of North America and Wales,National Stadium,Cardiff,Wales,FALSE,FALSE
08/11/1980,South Africa,France,37,15,1980 France rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,FALSE,FALSE
17/01/1981,Wales,England,21,19,1981 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
17/01/1981,France,Scotland,16,9,1981 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
07/02/1981,Ireland,France,13,19,1981 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
07/02/1981,Scotland,Wales,15,6,1981 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
21/02/1981,England,Scotland,23,17,1981 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
21/02/1981,Wales,Ireland,9,8,1981 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
07/03/1981,Ireland,England,6,10,1981 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
07/03/1981,France,Wales,19,15,1981 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
21/03/1981,England,France,12,16,1981 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
21/03/1981,Scotland,Ireland,10,9,1981 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
30/05/1981,Argentina,England,19,19,1981 England tour of Argentina,Ferrocarril Stadium,Buenos Aires,Argentina,FALSE,FALSE
30/05/1981,South Africa,Ireland,23,15,1981 Ireland rugby union tour of South Africa,Newlands,Cape Town,South Africa,FALSE,FALSE
06/06/1981,South Africa,Ireland,12,10,1981 Ireland rugby union tour of South Africa,King's Park,Durban,South Africa,FALSE,FALSE
06/06/1981,Argentina,England,6,12,1981 England tour of Argentina,Ferrocarril Stadium,Buenos Aires,Argentina,FALSE,FALSE
13/06/1981,New Zealand,Scotland,11,4,1981 Scotland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,FALSE,FALSE
20/06/1981,New Zealand,Scotland,40,15,1981 Scotland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
05/07/1981,Australia,France,17,15,1981 France tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
11/07/1981,Australia,France,24,14,1981 France tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
15/08/1981,New Zealand,South Africa,14,9,1981 South Africa tour,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
29/08/1981,New Zealand,South Africa,12,24,1981 South Africa tour,Athletic Park,Wellington,New Zealand,FALSE,FALSE
12/09/1981,New Zealand,South Africa,25,22,1981 South Africa tour,Eden Park,Auckland,New Zealand,FALSE,FALSE
14/11/1981,France,New Zealand,9,13,1981 New Zealand tour,Stadium Municipal,Toulouse,France,FALSE,FALSE
21/11/1981,France,New Zealand,6,18,1981 New Zealand tour,Parc des Princes,Paris,France,FALSE,FALSE
21/11/1981,Ireland,Australia,12,16,1981–82 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
05/12/1981,Wales,Australia,18,13,1981–82 Australia tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,FALSE,FALSE
19/12/1981,Scotland,Australia,24,15,1981–82 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
02/01/1982,England,Australia,15,11,1981–82 Australia tour of Great Britain and Ireland,Twickenham Stadium,London,England,FALSE,FALSE
16/01/1982,Scotland,England,9,9,1982 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
23/01/1982,Ireland,Wales,20,12,1982 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
06/02/1982,Wales,France,22,12,1982 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
06/02/1982,England,Ireland,15,16,1982 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
20/02/1982,Ireland,Scotland,21,12,1982 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/02/1982,France,England,15,27,1982 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
06/03/1982,England,Wales,17,7,1982 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
06/03/1982,Scotland,France,16,7,1982 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
20/03/1982,France,Ireland,22,9,1982 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
20/03/1982,Wales,Scotland,18,34,1982 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
04/07/1982,Australia,Scotland,7,12,1982 Scotland tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
10/07/1982,Australia,Scotland,33,9,1982 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
14/08/1982,New Zealand,Australia,23,16,1982 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
28/08/1982,New Zealand,Australia,16,19,1982 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
11/09/1982,New Zealand,Australia,33,18,1982 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
14/11/1982,France,Argentina,25,12,1982 Argentina tour of France and Spain,Stadium Municipal,Toulouse,France,FALSE,FALSE
20/11/1982,France,Argentina,13,6,1982 Argentina tour of France and Spain,Parc des Princes,Paris,France,FALSE,FALSE
15/01/1983,Scotland,Ireland,13,15,1983 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
15/01/1983,England,France,15,19,1983 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
05/02/1983,Wales,England,13,13,1983 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
05/02/1983,France,Scotland,19,15,1983 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
19/02/1983,Scotland,Wales,15,19,1983 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
19/02/1983,Ireland,France,22,16,1983 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
05/03/1983,Wales,Ireland,23,9,1983 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
05/03/1983,England,Scotland,12,22,1983 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
19/03/1983,France,Wales,16,9,1983 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
19/03/1983,Ireland,England,25,15,1983 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
31/07/1983,Australia,Argentina,3,18,1983 Argentina tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
07/08/1983,Australia,Argentina,29,13,1983 Argentina tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
20/08/1983,Australia,New Zealand,8,18,1983 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
22/10/1983,Italy,Australia,7,29,1983 Australia tour of Italy and France,Stadio Comunale Mario Battaglini,Rovigo,Italy,FALSE,FALSE
12/11/1983,Scotland,New Zealand,25,25,1983 New Zealand tour,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
13/11/1983,France,Australia,15,15,1983 Australia tour of Italy and France,Stade Marcel Michelin,Clermont-Ferrand,France,FALSE,FALSE
19/11/1983,England,New Zealand,15,9,1983 New Zealand rugby union tour of Scotland and England,Twickenham,London,England,FALSE,FALSE
19/11/1983,France,Australia,15,6,1983 Australia tour of Italy and France,Parc des Princes,Paris,France,FALSE,FALSE
21/01/1984,France,Ireland,25,12,1984 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
21/01/1984,Wales,Scotland,9,15,1984 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
04/02/1984,Scotland,England,18,6,1984 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
04/02/1984,Ireland,Wales,9,18,1984 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
18/02/1984,Wales,France,16,21,1984 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
18/02/1984,England,Ireland,12,9,1984 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
03/03/1984,Ireland,Scotland,9,32,1984 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
03/03/1984,France,England,32,18,1984 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
17/03/1984,England,Wales,15,24,1984 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
17/03/1984,Scotland,France,21,12,1984 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
02/06/1984,South Africa,England,33,15,1984 England rugby union tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa,FALSE,FALSE
09/06/1984,South Africa,England,35,9,1984 England rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,FALSE,FALSE
16/06/1984,New Zealand,France,10,9,1984 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
23/06/1984,New Zealand,France,31,18,1984 French tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
21/07/1984,Australia,New Zealand,16,9,1984 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
04/08/1984,Australia,New Zealand,15,19,1984 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,FALSE,FALSE
18/08/1984,Australia,New Zealand,24,25,1984 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,FALSE,FALSE
03/11/1984,England,Australia,3,19,1984 Australia tour of Great Britain and Ireland,Twickenham Stadium,London,England,FALSE,FALSE
10/11/1984,Ireland,Australia,9,16,1984 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
24/11/1984,Wales,Australia,9,28,1984 Australia tour of Great Britain and Ireland,National Stadium,Cardiff,Wales,FALSE,FALSE
08/12/1984,Scotland,Australia,12,37,1984 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
02/02/1985,England,France,9,9,1985 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
02/02/1985,Scotland,Ireland,15,18,1985 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
16/02/1985,France,Scotland,11,3,1985 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
02/03/1985,Ireland,France,15,15,1985 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
02/03/1985,Scotland,Wales,21,25,1985 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,FALSE,FALSE
16/03/1985,England,Scotland,10,7,1985 Five Nations Championship,Twickenham Stadium,London,England,FALSE,FALSE
16/03/1985,Wales,Ireland,9,21,1985 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
30/03/1985,France,Wales,14,3,1985 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
30/03/1985,Ireland,England,13,10,1985 Five Nations Championship,Lansdowne Road,Dublin,Ireland,FALSE,FALSE
20/04/1985,Wales,England,24,15,1985 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,FALSE,FALSE
01/06/1985,New Zealand,England,18,13,1985 England rugby union tour of New Zealand,Lancaster Park,Christchurch,New Zealand,FALSE,FALSE
08/06/1985,New Zealand,England,42,15,1985 England rugby union tour of New Zealand,Athletic Park,Wellington,New Zealand,FALSE,FALSE
22/06/1985,Argentina,France,24,16,1985 France tour of South America,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
29/06/1985,New Zealand,Australia,10,9,1985 Australia tour of New Zealand,Eden Park,Auckland,New Zealand,FALSE,FALSE
29/06/1985,Argentina,France,15,23,1985 France tour of South America,Ferro Carrill Oeste,Buenos Aires,Argentina,FALSE,FALSE
26/10/1985,Argentina,New Zealand,20,33,1985 New Zealand tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,FALSE,FALSE
02/11/1985,Argentina,New Zealand,21,21,1985 New Zealand tour of Argentina,Estadio Ricardo Etcheverry,Buenos Aires,Argentina,FALSE,FALSE
18/01/1986,England,Wales,21,18,1986 Five Nations Championship,Twickenham,London,England,FALSE,FALSE
18/01/1986,Scotland,France,18,17,1986 Five Nations Championship,Murrayfield,Edinburgh,Scotland,FALSE,FALSE
01/02/1986,Wales,Scotland,22,15,1986 Five Nations Championship,National Stadium,Cardiff,Wales,FALSE,FALSE
01/02/1986,France,Ireland,29,9,1986 Five Nations Championship,Parc des Princes,Paris,France,FALSE,FALSE
